도서명,부제목,출간일,분야,정가,평점,쪽수,eBook 여부,제목 길이,순위,베스트셀러 여부
마음의 결,결을 따라 풀어낸 당신의 마음 이야기,20190508,시/에세이,13800,9.3,264,0,5,124,1
죽음의 에티켓,나 자신과 사랑하는 이의 죽음에 대한 모든 것,20190916,인문,15800,9.4,255,1,7,125,1
돈 공부는 처음이라,0원부터 시작하는 난생처음 부자 수업,20190222,경제/경영,16000,9.1,344,1,10,126,1
원피스. 94: 무사들의 꿈,,20191106,만화,5000,8.7,208,0,15,127,1
부동산 상식사전,"전ㆍ월세, 내집, 상가, 토지, 경매까지 처음 만나는 부동산의 모든 것",20190130,경제/경영,17500,9.5,580,1,8,128,1
미움받을 용기,자유롭고 행복한 삶을 위한 아들러의 가르침,20141117,인문,14900,9.2,336,1,7,129,1
밀레니얼-Z세대 트렌드 2020,국내 유일 20대 전문 연구소의 요즘 세대 본격 관찰기,20191031,경제/경영,17000,8.7,364,1,17,130,1
가난한 사람이 더 합리적이다,MIT 경제학자들이 밝혀낸 빈곤의 비밀,20120515,경제/경영,17000,9.9,395,1,15,131,1
설민석의 세계사 대모험. 3,독일 편: 전쟁과 평화,20190924,어린이(초등),12000,9.7,200,0,15,132,1
생각이 바뀌는 순간,긍정을 이끌어내는 스위치,20191011,인문,16000,9.3,320,0,10,133,1
"걷는 사람, 하정우",,20181123,시/에세이,15500,9.5,296,1,10,134,1
우리가 빛의 속도로 갈 수 없다면(양장본 HardCover),김초엽 소설,20190624,소설,14000,9.4,330,1,18,135,1
당신의 마음을 안아줄게요,김지훈 에세이,20190222,시/에세이,15800,9.1,507,1,13,136,1
식물의 책,식물세밀화가 이소영의 도시식물 이야기,20191025,과학,15000,9.2,288,0,5,137,1
정리하는 뇌,"디지털 시대, 정보와 선택 과부하로 뒤엉킨 머릿속과 일상을 정리하는 기술",20150622,인문,22000,9,636,1,6,138,1
임신 출산 육아 대백과(2019~2020)(개정판),술술 잘 읽히는 첫아기 잘 키우는 법,20190701,가정/육아,18500,9.6,410,0,12,139,1
해커스 토익 스타트 리스닝(Hackers TOEIC Start Listening)(신토익 Edition),"온라인 신토익 모의고사, 받아쓰기&쉐도잉 프로그램",20190130,외국어,14900,9.4,584,0,14,140,1
혼자일 때도 괜찮은 사람(리커버 블루밍 에디션),권미선 에세이,20191004,시/에세이,13800,9.1,240,1,13,141,1
단테의 신곡(명화로 보는),,20181220,역사/문화,19800,9.2,506,0,6,142,1
어린이 퀴즈(읽으면서 바로 써먹는)(맛있는 공부 20),,20190420,어린이(초등),12000,9.3,224,0,6,143,1
심리학이 이렇게 쓸모 있을 줄이야,,20190325,자기계발,13000,9.2,280,1,18,144,1
원펀맨(One Punch Man). 20,간다!,20191023,만화,5000,8.7,200,0,3,145,1
루팡의 딸,,20190925,소설,15000,9.3,310,1,5,146,1
평범히 살고 싶어 열심히 살고 있다(2020 스페셜 에디션),,20190810,시/에세이,13500,9.1,184,1,19,147,1
데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션)(양장본 HardCover),,20171030,소설,12000,9.6,248,1,3,148,1
설민석의 무도 한국사 특강(개정판),인물 사건 문화유산,20190129,역사/문화,22000,9.6,433,1,14,149,1
방구석 미술관(10만 부 기념 스페셜 에디션),오르세 미술관,20200505,예술/대중문화,16800,9.4,344,1,7,150,1
시간은 흐르지 않는다(양장본 HardCover),우리의 직관 너머 물리학의 눈으로 본 우주의 시간,20190610,과학,16000,9.3,240,1,11,151,1
월급쟁이 재테크 상식사전(개정판),,20190607,경제/경영,17500,9.5,584,1,13,152,1
왕초보 영어회화 10분의 기적: 기초패턴으로 말하기(해커스톡),미국인이 가장 많이 쓰는 표현으로 원어민처럼 말하기 | 무료 해설강의/MP3,20181005,외국어,11900,9.6,237,1,28,153,1
세상에서 제일 재밌는 종이접기(세상에서 제일 시리즈),색종이 한 장이면 장난감 뚝딱!,20180824,가정/육아,14000,9.7,252,0,16,154,1
천년의 질문. 1(양장본 HardCover),조정래 장편소설,20190611,소설,14800,9.2,416,1,9,155,1
어떻게 살 것인가,,20130313,인문,15000,9.2,342,1,9,156,1
대한민국 땅따먹기,,20191018,경제/경영,18000,9.5,356,0,9,157,1
"머시 수아레스, 기어를 바꾸다(미래주니어노블 3)",,20190920,어린이(초등),14800,9.8,432,1,16,158,1
해커스 토익 700+ LC+RC(한 권으로 끝내는),신토익 출제유형 100% 반영,20191227,외국어,19500,9.4,596,0,17,159,1
알사탕(그림책이 참 좋아 39)(양장본 HardCover),,20170325,유아(0~7세),12000,9.2,48,0,3,160,1
일에 관한 9가지 거짓말,,20191111,자기계발,16800,9.3,368,1,13,161,1
의학의 역사(만화로 배우는)(한빛비즈 교양툰),,20191025,역사/문화,19800,9.4,244,1,6,162,1
좋은지 나쁜지 누가 아는가,,20190311,시/에세이,15000,9.7,256,1,14,163,1
지적 대화를 위한 넓고 얕은 지식: 현실너머 편,"철학, 과학, 예술, 종교, 신비 편",20150204,인문,16000,9.4,376,0,26,164,1
판사유감(개정증보판),,20191014,정치/사회,15000,9.7,316,0,4,165,1
무례한 사람에게 웃으며 대처하는 법,"인생자체는 긍정적으로, 개소리에는 단호하게",20180108,시/에세이,13800,8.8,264,1,19,166,1
인간의 흑역사,인간의 욕심은 끝이 없고 똑같은 실수를 반복한다,20191010,역사/문화,14800,9.4,276,1,7,167,1
라틴어 수업(지적이고 아름다운 삶을 위한),,20190429,인문,15000,9.2,312,1,6,168,1
죽음. 1(양장본 HardCover),베르나르 베르베르 장편소설,20190530,소설,14000,9.3,328,1,5,169,1
사장하기 참 어렵네요,사장이라면 꼭 알아야 할 51문 51답,20190920,경제/경영,15000,9.2,296,0,11,170,1
조선과 일본,한국이 알 수 없었던 진실,20191104,정치/사회,20000,8.7,420,0,6,171,1
당신을 응원하는 누군가,미화의 그림 에세이,20131115,시/에세이,11500,9.4,239,1,12,172,1
또 다른 10년이 온다,2020-2030 경제의 미래,20191122,경제/경영,17000,6.8,340,1,12,173,1
"박막례, 이대로 죽을 순 없다",독보적 유튜버 박막례와 천재 PD 손녀 김유라의,20190531,시/에세이,14800,9.6,344,1,16,174,1
세계사 최대한 쉽게 설명해 드립니다(완역판)(누구나 교양 1),세계사의 맥을 잡아 주는 56가지 재미있는 강의,20181224,역사/문화,13800,9.5,350,0,19,175,1
네모아저씨의 페이퍼 블레이드. 2: 레볼루션(네모아저씨의 종이접기 놀이터 03),,20190809,어린이(초등),11500,9.7,152,0,24,176,1
나의 히어로 아카데미아. 24(일반판),,20191031,만화,5000,9,200,0,16,177,1
"그리스 로마 신화. 13: 도도한 여신, 아르테미스의 원칙(만화로 읽는 초등 인문학)(양장본 HardCover)",,20191016,어린이(초등),12000,9.5,196,1,32,178,1
내 강아지 마음 상담소,강아지 마음에 대한 소소한 질문들,20191115,취미/실용/스포츠,14800,9.6,320,1,12,179,1
50대 사건으로 보는 돈의 역사,,20190424,경제/경영,17800,9,352,1,17,180,1
기적의 식단,저탄수화물 고지방 다이어트의 비밀,20191018,건강,18000,9.8,296,1,6,181,1
칼 비테 교육법,평범한 아버지의 위대한 자녀교육,20170728,가정/육아,17000,9.2,384,0,8,182,1
침묵이라는 무기,,20191021,자기계발,14500,9.4,272,1,8,183,1
참 애썼다 그것으로 되었다(10만부 판매 기념 한정판 에디션),,20191115,시/에세이,14000,9.5,396,0,14,184,1
지구에서 한아뿐,정세랑 장편소설,20190731,소설,13000,9.4,228,1,8,185,1
채식주의자,,20071030,소설,12000,8.7,247,0,5,186,1
관객모독(세계문학전집 306),,20121130,소설,7000,9,91,1,4,187,1
2020 부동산 시그널,영리하고 민첩하게 규제의 틈새를 노려라,20191122,경제/경영,19000,9.4,388,1,12,188,1
"스무살, 반야심경에 미치다",,20190725,인문,15000,9.3,248,0,14,189,1
호모 데우스,미래의 역사,20170519,인문,22000,9.3,630,1,6,190,1
가장 예쁜 생각을 너에게 주고 싶다,,20170607,시/에세이,13000,9.4,248,1,19,191,1
내가 죽으면 장례식에 누가 와줄까,,20190527,시/에세이,14000,9.3,198,1,18,192,1
10년 동안 적금밖에 모르던 39세 김 과장은 어떻게 1년 만에 부동산 천재가 됐을까?,5년 만에 자산을 100배로 불린 투자고수 렘군의 단기속성 부동산 스쿨,20180915,경제/경영,16800,9.4,344,1,48,193,1
김승옥문학상 수상작품집(2019),,20190927,소설,10000,9.4,284,0,12,194,1
2020년 경제 전망(한 권으로 먼저 보는),세계 그리고 한국 경제를 관통하는 중대한 흐름과 최신 트렌드 20가지,20191029,경제/경영,16000,9.2,280,1,11,195,1
왜 나는 너를 사랑하는가(개정판)(양장본 HardCover),,20130115,소설,12000,9.1,278,1,13,196,1
질문이 멈춰지면 스스로 답이 된다,나와 세상에 속지 않고 사는 법,20191101,인문,16000,9.4,280,1,18,197,1
하버드 부모들은 어떻게 키웠을까,명문대 학생들의 성장 과정을 추적 조사한,20191014,가정/육아,16000,8.9,300,1,17,198,1
나는 농담으로 과학을 말한다,무심코 읽었다가 쓸데없이 똑똑해지는 책,20190719,과학,17500,9.4,432,1,15,199,1
생각하는 여자는 괴물과 함께 잠을 잔다,,20170908,정치/사회,12000,9.7,184,1,21,0,0
Perfect IELTS Listening Dictation Vol. 1: 전용 단어(퍼펙트 아이엘츠 시리즈),,20170515,외국어,15000,10,208,0,47,0,0
참 좋은 당신을 만났습니다: 다섯 번째,"순간을 더 특별하게 만드는 공감 에세이
							
							
								|
								힘든 하루를 위로하는 별들, 지금 당신 곁에 있습니다.",20170915,시/에세이,13800,9.8,288,1,21,0,0
엄마 반성문,전교 일등 남매 고교 자퇴 후 코칭 전문가 된 교장 선생님의 고백,20170901,가정/육아,14000,9.4,312,1,6,0,0
허팝과 함께하는 유튜브 크리에이터 되기,"YouTube 채널 운영부터 동영상 촬영 및 편집, 라이브 방송, 수익 창출까지",20170928,컴퓨터/IT,15000,9.1,336,1,21,0,0
나를 지키며 일하는 법,,20170901,인문,12000,8.7,232,1,12,0,0
소비의 역사,지금껏 아무도 주목하지 않은 '소비하는 인간'의 역사,20170828,역사/문화,25000,9,496,1,6,0,0
사회 5개년 기출문제집(9급 공무원)(2018)(기출이 답이다)(개정판 3판),"국가직/지방직/서울시/경찰직/사회복지직 대비
							
							
								|
								온라인 모의고사 무료 제공+최신 기출 무료 특강",20180220,취업/수험서,14000,9.2,412,0,12,0,0
호모 사이언티피쿠스(양장본 HardCover),과학으로 바라본 인류 문명사,20170906,과학,36000,10,864,0,10,0,0
김동현의 리얼 스트렝스,"대한민국 최강 파이터의 진짜 트레이닝
							
							
								|
								강해지고 싶다면 근육보다 체력과 힘을 키워라!",20170911,건강,18000,10,246,0,12,0,0
쪼물딱 루씨의 기초 코바늘 손뜨개,9가지 뜨개법으로 만드는 아기자기한 감성 소품 35,20170915,취미/실용/스포츠,15800,9.3,196,0,18,0,0
루터의 재발견,"질문, 저항, 소통, 새로운 공동체",20170906,종교,18000,9.7,348,0,7,0,0
빛 혹은 그림자,호퍼의 그림에서 탄생한 빛과 어둠의 이야기,20170911,소설,18000,9.2,440,1,8,0,0
더 테이블,지나가는 마음들,20170915,예술/대중문화,13500,9.3,220,1,5,0,0
누구나 부자 되는 데이트레이딩 실전 팁,"최원철의 주식 투자 30년 노하우
							
							
								|
								개인 투자자의 성공투자를 위한 실천 팁",20170905,경제/경영,15000,8.1,232,1,21,0,0
"무명배우, 10문장으로 영어강사 되다",인생을 뒤집는 하루 10분 10문장 법칙,20170927,자기계발,14000,10,312,1,20,0,0
프렌즈 홍콩 마카오('17~'18)(Season 9)(프렌즈 시리즈 1),최고의 홍콩 마카오 여행을 위한 한국인 맞춤형 해외 여행 가이드북,20170904,여행,16500,9.7,548,0,10,0,0
커피와 스무디. 1,,20170829,만화,13000,0,252,0,10,0,0
진짜 대장이 나타났다(웅진 세계 그림책 165)(양장본 HardCover),,20170823,유아(0~7세),12000,0,40,0,11,0,0
스토리의 모험,1000만 독자를 울리고 웃긴 아주 특별한 이야기 27,20170908,시/에세이,14000,10,252,1,7,0,0
크리스토파노와 흑사병,"갈릴레오 시대, 공중위생의 역사에 관한 연구",20170815,역사/문화,15000,10,208,0,11,0,0
Perfect IELTS Listening Dictation Vol. 2: 필수 단어(퍼펙트 아이엘츠 시리즈),,20170915,외국어,20000,10,428,0,47,0,0
프로그레시브 록 명반 가이드북(ARGS 2),탐미주의자를 현혹하는 예술적인 음악,20170904,예술/대중문화,28000,10,432,0,16,0,0
산책자를 위한 자연수업,우리 주변에 널린 자연의 신호와 단서들을 알아보는 법,20170907,과학,19800,9.5,504,0,12,0,0
우아함의 기술,"일상의 우아함, 내면의 우아함에 대한 고찰",20170908,인문,18000,8.7,412,1,7,0,0
서재걸의 New 해독주스(개정판),대한민국 최고의 해독 전문가가 알려주는 해독의 완결판,20170901,건강,14500,9.7,280,1,13,0,0
돌돌 말아 김밥(그림책이참좋아 42)(양장본 HardCover),,20170907,유아(0~7세),12000,9.7,40,0,8,0,0
아이의 공부지능,EBS 공식 멘토 민성원의 우리 아이 지능 개발 실전서,20170901,가정/육아,16800,6.4,328,1,8,0,0
행정법총론 5개년 기출문제집(9급 공무원)(2018)(기출이 답이다)(증보판),"국가직/지방직/서울시/사회복지직 대비
							
							
								|
								온라인 모의고사 무료 제공+최신 기출 무료 특강",20171010,취업/수험서,14000,10,332,0,15,0,0
대한민국 프레임 전쟁,뉴스로 뉴스를 덮는 언론을 말하다,20170830,정치/사회,16000,9,352,1,11,0,0
로마서(2판)(양장본 HardCover),,20170831,종교,60000,10,1124,1,3,0,0
밀레니엄. 4: 거미줄에 걸린 소녀(양장본 HardCover),다비드 라게르크란츠 장편소설,20170919,소설,16500,8.9,576,1,19,0,0
우리 집에 멍이가 들어왔어요(서울대학교동물병원 Health+ 1),,20170830,취미/실용/스포츠,10000,0,112,1,15,0,0
인공지능이 바꾸는 미래 비즈니스,4차 산업혁명 시대의 기업 경영 전략,20170905,경제/경영,20000,9.2,432,1,17,0,0
우유부단의 심리학,결정장애 불안장애 공황장애를 겪는 사람들을 위한 안내서,20170915,자기계발,15000,0,268,1,9,0,0
오버워치 공식 월드 가이드북 세트(전2권),,20170925,컴퓨터/IT,25000,6.6,160,1,18,0,0
커피와 스무디. 2,,20170829,만화,13000,0,240,0,10,0,0
신이 쏜 불화살,,20170915,종교,13000,9.9,232,0,8,0,0
전문가와 강적들,나도 너만큼 알아,20170907,인문,18000,9.6,420,1,8,0,0
"공공미술, 도시를 그리다",우리가 몰랐던 공공미술에 관한 이야기,20170908,예술/대중문화,16000,0,288,1,13,0,0
어느 채식의사의 고백,녹말음식은 어떻게 살을 빼고 병을 고치나,20170828,건강,13000,9.6,264,1,11,0,0
CJ그룹 CJ종합적성검사 최신기출유형분석 + 실전 모의고사(2017 하반기)(위포트),"실전 모의고사 4회+인성검사, 최다 820문제 수록!
							
							
								|
								단 한 권으로 끝내는 CJ 종합적성검사!",20170918,취업/수험서,19900,6.1,528,0,32,0,0
파고다 끝토익 1000제 LC,"990 공략, 토익에 마침표를 찍다",20170901,외국어,9900,9.3,252,0,16,0,0
"사회, 법정에 서다",허승 판사의 공부가 되는 법과 재판 이야기,20170831,정치/사회,18000,9.2,372,0,10,0,0
게임 비주얼 이펙트 테크니컬 입문 with 유니티,이펙트 리소스 제작부터 셰이더 응용까지,20170912,컴퓨터/IT,28000,9.1,444,1,27,0,0
나의 제주올레,"놀멍 쉬멍 걸으멍
							
							
								|
								길 위에서 새로운 삶을 만난 사람들의 이야기",20170908,시/에세이,12000,10,192,0,7,0,0
문명과 전쟁(양장본 HardCover),,20170901,역사/문화,53000,9.7,1064,1,6,0,0
밀레니엄. 1: 여자를 증오한 남자들(양장본 HardCover),스티그 라르손 장편소설,20170919,소설,17500,9.6,688,1,20,0,0
풀 뜯어먹는 소리. 1,,20170905,만화,12500,10,300,0,12,0,0
패션 MD. 2: Brand,"편집숍 아이덴티티를 결정하는 브랜드는 따로 있다
							
							
								|
								대한민국 최고의 슈퍼 MD가 알려주는 브랜드 큐레이션의 모든 것",20170915,경제/경영,28000,9.8,424,1,15,0,0
리더를 위한 관계 수업,일보다 사람이 힘든 당신을 위한 인간관계술,20170906,자기계발,16000,10,256,1,12,0,0
내 친구 꼬마 벌(국민서관 그림동화 195)(양장본 HardCover),,20170831,유아(0~7세),12000,10,32,0,9,0,0
트라팔가 광장 앞 그 미술관,"유럽 미술관 여행, 마음에 머문 그림들",20170911,예술/대중문화,18000,10,244,0,15,0,0
내 몸 살리는 혈관 소통(혈액순환 전문 한의사가 쓴),,20170828,건강,14000,8.6,224,0,13,0,0
신화에게 길을 묻다,알기 쉽게 풀어쓴 그리스로마신화의 인생 메시지,20170828,역사/문화,14500,10,352,0,10,0,0
실무자가 말하는 모의해킹,"진로 고민부터 실무 투입까지
							
							
								|
								모의해킹 업무를 선택한 당신을 위한 조언",20170911,컴퓨터/IT,17000,10,224,1,13,0,0
GSAT 삼성직무적성검사 세트(기출유형풀이 및 실전모의고사+파이널최종모의고사)(와우패스 JOB)(전2권),"GSAT 시험공략법 동영상강의 무료 제공
							
							
								|
								영역별 최단기 문제풀이 Tip 제시",20171001,취업/수험서,23800,7.5,664,0,16,0,0
파고다 끝토익 1000제 RC,"990 공략, 토익에 마침표를 찍다",20170901,외국어,9900,9.1,332,0,16,0,0
직업의 종말,불확실성의 시대 일의 미래를 준비하라,20170922,경제/경영,15000,9.5,264,1,6,0,0
교토에 다녀왔습니다,임경선 에세이,20170905,시/에세이,14800,9,272,1,10,0,0
삶의 품격을 높이는 말 부리기 연습,화술에 짓눌리지 않고 나만의 언어로 행복을 찾다,20170910,자기계발,13000,10,248,1,19,0,0
슈퍼피셜 코리아,화려한 한국의 빈곤한 풍경,20170908,인문,15000,10,252,1,8,0,0
밀레니엄. 2: 불을 가지고 노는 소녀(양장본 HardCover),스티그 라르손 장편소설,20170919,소설,19000,9.9,784,1,21,0,0
풀 뜯어먹는 소리. 2,,20170905,만화,12500,10,268,0,12,0,0
별과 나(비룡소 창작 그림책 59)(양장본 HardCover),,20170830,유아(0~7세),13000,10,60,0,4,0,0
그리스도인,그 정체성과 죽음과 희망,20170908,종교,15000,10,208,0,5,0,0
지성에서 영성으로(양장본 HardCover),,20170905,종교,19800,9.8,352,0,9,0,0
KVM 가상화 완전 가이드(acorn+PACKT 시리즈),클라우드 컴퓨팅을 위한 리눅스 가상화 시스템,20170928,컴퓨터/IT,40000,10,528,1,14,0,0
L-TAB 롯데그룹 인 적성검사 이공계(2017 하반기 채용대비)(기출이 답이다),"3개년 기출문제 완벽 복원
							
							
								|
								기출 동형 모의고사 2회분 수록",20171010,취업/수험서,16000,8.4,304,0,21,0,0
영화관에 간 경영학자,강수돌 교수의 시네마 경영학,20170830,인문,16000,10,372,0,11,0,0
나랑 똑같은 아이(춤추는 카멜레온)(양장본 HardCover),,20170824,유아(0~7세),10000,0,32,0,9,0,0
곤도의 결심,"""나는 절대 누구도 해고하지 않겠다!""",20170918,경제/경영,15000,10,260,1,6,0,0
"사장 부장 다 나가, 혼자 있고 싶으니까",일도 연애도 참 서툰 86년생 이환천들의 술푼 인생 시,20170831,시/에세이,11800,10,200,1,22,0,0
계룡 선녀전. 1,,20170907,만화,12000,9.8,292,0,9,0,0
나를 바꾸는 행동분석학,버릴 습관은 버리고 고칠 습관은 고친다,20170829,자기계발,13800,8,256,1,12,0,0
밀레니엄. 3: 벌집을 발로 찬 소녀(양장본 HardCover),스티그 라르손 장편소설,20170919,소설,20000,9.7,856,1,20,0,0
유니티 쉐이더 스타트업(테크니컬 아티스트를 위한),아티스트가 기술을 이해하면 놀라운 일이 생깁니다.,20170926,컴퓨터/IT,39000,9.8,560,0,12,0,0
문호 스트레이독스. 9(노엔코믹스(Noen Comics)),,20170919,만화,5000,9.9,184,1,12,0,0
L-TAB 롯데그룹 인 적성검사 인문계(2017 하반기 채용대비)(기출이 답이다),"3개년 기출문제 완벽 복원
							
							
								|
								기출 동형 모의고사 2회분 수록",20171010,취업/수험서,16000,7.5,292,0,21,0,0
나는 오늘도 칼퇴근,일 잘하는 사람만 아는 절차의 비밀,20170911,자기계발,13000,8.3,241,1,10,0,0
하루 벌어 살아도 괜찮아,아프리카도시민 사회에서 발견한 또 하나의 자본주의,20170908,인문,14000,7.5,224,1,13,0,0
문학으로의 모험(양장본 HardCover),역사상 가장 위대한 가상 세계들로의 여행,20170830,소설,29000,9.5,320,1,8,0,0
뱀 머리에 털이 났대!(춤추는 카멜레온)(양장본 HardCover),,20170824,유아(0~7세),10000,10,36,0,12,0,0
부산에서 살던 때가 그립습니다,서울로 날아간 부산갈매기 이야기,20170904,시/에세이,14000,10,324,1,16,0,0
"유니크, 유니클로","속도는 화살처럼, 효율은 전쟁처럼",20170911,경제/경영,15000,8.3,272,0,9,0,0
질문을 하다,,20170910,종교,12000,0,232,0,6,0,0
내 생일은 언제 와요?,,20170905,유아(0~7세),12000,10,40,1,12,0,0
너의 췌장을 먹고 싶어(상),,20170830,만화,6000,9.9,216,1,12,0,0
PHP 7 예비학교,예비 웹 프로그래머를 위한 과외 수업,20170913,컴퓨터/IT,30000,9.7,652,1,10,0,0
여자의 미래,편견과 한계가 사라지는 새로운 세상을 준비하라,20170913,자기계발,15000,9,296,1,6,0,0
NCS 신용보증기금&기술보증기금 필기시험+기출면접 통합본(2017),"금융공기업 합동채용 대비
							
							
								|
								주요 공기업 NCS 기출복원문제 수록",20171010,취업/수험서,20000,6.9,364,0,31,0,0
더 어글리,추의 문화사,20170910,인문,19000,0,376,1,5,0,0
코이노니아 성경 해석 가이드북,‘만남과 사귐’의 성경 해석학을 위한 해설서,20170905,종교,6000,9.5,88,0,16,0,0
카메라와 부엌칼을 든 남자의 유럽 음식 방랑기,유럽 맛 위를 걷다,20170906,시/에세이,15000,9,324,0,25,0,0
회사언어 번역기,불신과 비효율을 자율과 창의로 바꾸는 경영의 언어,20170918,경제/경영,14500,10,380,1,8,0,0
츠바키 문구점(양장본 HardCover),오가와 이토 장편소설,20170915,소설,14000,9.5,400,1,7,0,0
불안이라는 위안,마음이 요동칠 때 되뇌는 다정한 주문,20170907,인문,14000,8.7,340,1,8,0,0
청화 스님의 참선공부법,,20170922,종교,15000,9.3,240,1,12,0,0
엔트리 코딩학교(송쌤의),엔트리 개발에 참여한 송쌤과의 즐거운 코팅 공부,20170921,컴퓨터/IT,18000,10,320,0,8,0,0
너의 췌장을 먹고 싶어(하),,20170830,만화,6000,9.5,226,1,12,0,0
슈퍼 파워 암기법,"어떤 정보든 5초 안에 기억하고, 바로 성과로 만드는",20170920,자기계발,14000,9.5,224,1,9,0,0
"마흔, 시로 답하다",,20170910,시/에세이,11500,0,124,0,10,0,0
날 미치게 하는 그대 세트(전2권),이달아 장편소설,20170925,소설,27600,10,984,0,14,0,0
미래 경영의 지배자들,4차 산업혁명 시대에 상품과 시장의 변화를 예측하는 지침서,20170925,경제/경영,14800,10,320,1,11,0,0
엄마가 달려갈게!(김영진 그림책 7)(양장본 HardCover),,20170922,유아(0~7세),12000,9.8,40,0,9,0,0
NCS 한국농어촌공사(KRC) 공사공단 최신기출+봉투모의고사 3회분(2017),2017년 10월 22일 시험대비,20171019,취업/수험서,12000,9.5,208,0,11,0,0
비어 있는 중심,"미완의 시학
							
							
								|
								김정란 비평집",20170907,인문,17000,10,508,1,8,0,0
대단한 수의사(양장본 HardCover),무슨 병이든 다 고치고 말겠어!,20170925,유아(0~7세),11000,0,32,0,7,0,0
R을 활용한 머신 러닝(2판)(acorn+PACKT 시리즈),"R로 머신 러닝 알고리즘 작성, 데이터 준비, 데이터 예측 기법 깊이 파기",20170915,컴퓨터/IT,36000,8.9,576,1,12,0,0
NCS 한국수력원자력,"이거 하나로 끝! 공기업단기
							
							
								|
								2017 상반기 최신 출제 유형 분석",20170915,취업/수험서,17000,10,272,0,11,0,0
5초의 법칙,당신을 시작하게 만드는 빠른 결정의 힘,20170901,자기계발,14000,9.3,328,1,6,0,0
나는 일주일에 이틀만 일하기로 했다,즐겁게 살아가기 위한 자기만의 일과 생활의 균형찾기,20170905,시/에세이,12800,9,208,1,19,0,0
날 미치게 하는 그대. 1,이달아 장편소설,20170925,소설,13800,8.3,488,0,14,0,0
실리콘밸리 사람들은 어떻게 일할까?,"그들이 더 즐겁게, 마음껏 일하는 5가지 비밀",20170825,경제/경영,16000,9.2,388,1,19,0,0
마젠토2 개발자 가이드(acorn+PACKT 시리즈),"전 세계적으로 가장 인기 있는 최신 전자상거래 플랫폼
							
							
								|
								파워풀한 마젠토 2 사용법 익히기",20170915,컴퓨터/IT,35000,0,512,1,12,0,0
사랑은 달아서 끈적한 것(슬로북(Slow Book)),박상 본격 뮤직 에쎄-이,20170909,시/에세이,13000,10,376,1,13,0,0
첫 마디가 두려운 당신에게,얼어붙은 입이 술술 풀리는 말하기의 기술,20170920,자기계발,14000,10,228,0,14,0,0
날 미치게 하는 그대. 2,이달아 장편소설,20170925,소설,13800,7.5,496,0,14,0,0
30평 아파트 대신 1000평 땅주인 된 엄마,나는 돈이 없어서 땅에 올인했다!,20170908,경제/경영,16800,9.6,312,0,25,0,0
싫은 날(반달 그림책 31)(양장본 HardCover),,20170914,유아(0~7세),15000,0,44,0,4,0,0
세 명의 사기꾼 모세 예수 마호메트(양장본 HardCover),,20170829,인문,14000,10,216,1,19,0,0
NCS 한국전력공사(KEPCO) 최신기출+봉투모의고사 4회분(2017),2017년 10월 28일 시험 대비,20171025,취업/수험서,13000,8,256,0,10,0,0
이혼일기(양장본 HardCover),이서희 에세이,20170831,시/에세이,14800,9,360,0,4,0,0
Augmented Reality(게임 개발 프로그래밍 시리즈),증강 현실의 기본 원칙과 구현,20170908,컴퓨터/IT,40000,0,592,0,17,0,0
강정구 경찰영어 기출문제집: 문법편(2018)(ACL),초판 2쇄,20180312,취업/수험서,10000,0,137,0,19,0,0
똑똑하고 쿨하게 버럭하기,나를 괴롭히는 상사와 동료들을 향한 통쾌한 한 방!,20170901,자기계발,14000,0,324,1,13,0,0
착한 기업에 투자하라,'착한 투자'로 성공한 너무도 비상식적인 '투자법칙',20170828,경제/경영,12000,0,212,1,11,0,0
암호 해독자(묘보설림 1),,20170904,소설,14000,9.4,420,0,6,0,0
염소똥 가나다(양장본 HardCover),,20170821,유아(0~7세),15000,0,48,0,7,0,0
위기의 이성,비합리적 세상에서 합리적 회의주의자가 되는 법,20170824,인문,25000,10,460,1,6,0,0
어쩌면 조금 외로웠는지도 몰라,외로움이 키운 습관들에 대하여,20170915,시/에세이,14000,10,236,1,16,0,0
공무원 과학 기출문제집(2018)(Teos)(3판),9급 공무원 경찰대비,20170901,취업/수험서,30000,8.5,560,0,12,0,0
짝수 해에 창업하고 홀수 해에 여행한다,마흔 이후 시작한 2년 1모작 욜로 인생!,20170915,자기계발,15000,8.8,328,1,21,0,0
공룡이 돌아온다면(꿈꾸는 작은 씨앗 33)(양장본 HardCover),,20170906,유아(0~7세),12000,10,48,0,9,0,0
돈되는 제주 땅은 따로 있다,현지 부동산 고수의 생생투자 가이드,20170908,경제/경영,15000,8.8,284,1,15,0,0
시그니처,"나비사냥 SEASON 2
							
							
								|
								박영광 장편소설",20170901,소설,15000,9.7,544,1,4,0,0
콜럼바인,비극에 대한 가장 완벽한 보고서,20170829,인문,21000,9.3,680,1,4,0,0
가까스로 반짝이는,,20170915,시/에세이,12800,10,240,0,9,0,0
공인노무사 기본서 My 민법,2018년 공인노무사 제1차 시험대비,20170906,취업/수험서,25000,7.5,428,0,15,0,0
이기적 감정 정리법,홀가분한 나를 위한 감정 습관,20170908,자기계발,13000,9.6,264,1,10,0,0
이나모리 가즈오의 왜 사업하는가(양장본 HardCover),사람도 사업도 다시 태어나는 기본의 힘,20170908,경제/경영,14000,8.8,232,1,17,0,0
