도서명,부제목,출간일,분야,정가,평점,쪽수,eBook 여부,제목 길이,순위,베스트셀러 여부
너의 숲이 되어줄게(양장본 HardCover),애뽈의 숲소녀 이야기,20170717,시/에세이,13800,9.7,224,0,10,146,1
결국 이기는 사람들의 비밀,불공평한 세상에서 발견한 10가지 성공 법칙,20170627,자기계발,15000,7.7,328,1,14,147,1
ETS TOEIC(토익) Test 공식종합서 RC,출제기관 독점 공개,20160506,외국어,19800,9.4,752,1,9,148,1
해커스 토익 스타트 리스닝(Hackers TOEIC Start Listening)(신토익 Edition),"온라인 신토익 모의고사, 받아쓰기&쉐도잉 프로그램",20190130,외국어,14900,9.4,584,0,14,149,1
하이큐!!. 26,전선,20170830,만화,5000,9,196,1,9,150,1
참 소중한 너라서(있는 그대로),지금도 충분히 아름다운 당신에게,,,,9.1,0,0,9,151,1
ETS TOEIC(토익) Test 공식종합서 LC,출제기관 독점 공개,20160506,외국어,19800,9.4,744,0,9,152,1
해커스 OPIc 오픽 START Intermediate 공략(2주 만에 끝내는)(개정판 3판),스피킹 초보를 위한 OPIc 필수 학습서,20191118,외국어,15900,9.4,345,0,33,153,1
횡설수설하지 않고 정확하게 설명하는 법,당신이 설명을 못하는 데는 사소한 이유가 있다,20170828,자기계발,13000,8.9,224,1,21,154,1
센스메이킹,이것은 빅데이터가 알려주지 않는 전략이다,20170725,경제/경영,16000,8.4,308,1,5,155,1
왕초보 영어회화 100일의 기적,100일 후에는 나도 영어로 말한다,20160501,외국어,12000,9.4,240,1,17,156,1
숨결이 바람 될 때(양장본 HardCover),서른여섯 젊은 의사의 마지막 순간,20160822,시/에세이,14000,9.4,284,1,10,157,1
지독한 하루,,20170721,시/에세이,13000,9.4,260,1,6,158,1
도티&잠뜰: 비밀의 힘(Sandbox Friends 코믹 시리즈 4),,20170724,어린이(초등),9500,9.7,160,0,12,159,1
기린의 날개,,20170206,소설,16800,9.3,420,0,6,160,1
타이탄의 도구들(리커버 에디션),,20200309,자기계발,15000,9.2,367,1,8,161,1
혼자 잘해주고 상처받지 마라,서운하고 속상한 마음을 들키지않으려고 애쓰는 당신을 위한 감정의 심리학,20161027,자기계발,15000,9.3,288,1,15,162,1
내가 말해 줄게요,강주은의 소통법,20170825,시/에세이,13800,9.5,416,0,9,163,1
나쁜 페미니스트,불편하고 두려워서 페미니스트라고 말하지 못하는 당신에게,20160314,정치/사회,15800,9.1,376,1,8,164,1
아홉 살 마음 사전,,20170310,어린이(초등),11000,9.6,168,0,10,165,1
국세청은 정의로운가,안원구의 국세청 대해부,20170911,정치/사회,15000,9.3,336,1,10,166,1
바다가 보이는 이발소,,20170519,소설,13000,9.3,272,1,11,167,1
무작정 따라하기 후쿠오카(2017-2018),테마와 코스 정보가 2배 분리형 가이드북,20170802,여행,17800,9.7,616,0,13,168,1
"빨강머리N 난 이래, 넌 어때?",보통의 어른들에게 안부를 묻다,20170814,시/에세이,14800,9.5,320,1,17,169,1
태도에 관하여(양장본 HardCover),나를 살아가게 하는 가치들,20150330,시/에세이,12000,9.3,304,0,7,170,1
최강의 식사,인생을 바꾸는 실리콘밸리식 완전무결 2주 다이어트,20170616,건강,17000,9.1,368,1,6,171,1
너에게 하고 싶은 말,"차마 하지 못했던, 미처 하지 못했던",20151211,시/에세이,13000,9.4,212,1,11,172,1
놓지 마 과학!. 5: 정신이 태양계에 정신 놓다,놓지 마 정신줄 학습 만화,20170825,어린이(초등),9800,9.8,180,0,27,173,1
2억 빚을 진 내게 우주님이 가르쳐준 운이 풀리는 말버릇,,20170814,자기계발,12800,9.5,252,1,31,174,1
한 걸음을 걸어도 나답게,오로지 자기만의 것을 만들어낸 강수진의 인생 수업,20170728,자기계발,14900,9.1,316,1,13,175,1
백종원이 추천하는 집밥 메뉴 55(백종원이 추천하는 집밥 메뉴 3),,20170421,요리,9900,9.3,152,1,18,176,1
비하인드 도어,B. A. 패리스 장편소설,20170623,소설,14000,9,324,1,7,177,1
"차라리, 우리 헤어질까","만남과 이별 사이에서 고민하는 그 남자, 그 여자의 속마음",20170810,시/에세이,13000,8.8,268,1,12,178,1
해커스 보카(Hackers Vocabulary)(개정판 2판),토플/IELTS/텝스/공무원/SAT/특목고,20150701,외국어,16900,9.3,366,0,6,179,1
나는 120살까지 살기로 했다,"인생 후반, 나를 완성하는 삶의 기술",20170901,건강,16000,7.5,320,1,16,180,1
참을 수 없는 존재의 가벼움(세계문학전집 234),,20091224,소설,11000,9.3,484,0,15,181,1
대량살상 수학무기,어떻게 빅데이터는 불평등을 확산하고 민주주의를 위협하는가,20170921,정치/사회,16000,9.2,392,1,9,182,1
돈이 없을수록 서울의 아파트를 사라,아직 서울에 살 만한 아파트가 남아 있다,20170721,경제/경영,16000,8.2,288,1,19,183,1
문명과 전쟁(양장본 HardCover),,20170901,역사/문화,53000,9.7,1064,1,6,184,1
매일 10분 기초 영문법의 기적,영어패턴이 보이고 영어회화가 된다!,20170413,외국어,12000,9.3,160,1,17,185,1
"다가오는 3년, 대한민국 부동산 시나리오",이제는 정말 끝인가? vs 또 다른 시작인가?,20170915,경제/경영,16000,8.3,308,1,22,186,1
최강 공룡왕,,20170720,어린이(초등),12000,9.3,144,0,6,187,1
"아주, 조금 울었다(미드나잇 에디션)",비로소 혼자가 된 시간,20170715,시/에세이,13000,9.2,240,1,10,188,1
언어 공부,16개 국어를 구사하는 통역사의 외국어 공부법,20170904,인문,15000,8.1,280,1,5,189,1
중국어 6개월에 끝내고 알리바바 입사하기,죽어라 영어만 파서는 절대 모르는 인생을 바꾸는 초특급 전략,20170825,자기계발,14000,9,276,1,22,190,1
당신의 이름을 지어다가 며칠은 먹었다(문학동네시인선 32),박준 시집,20170630,시/에세이,10000,9.3,143,1,20,191,1
정재승의 과학 콘서트(개정증보판),복잡한 세상 명쾌한 과학,20110707,과학,13500,8.8,360,0,11,192,1
오리진: 세상 모든 것의 기원. 1: 보온(오리진 시리즈 1),,20170828,인문,13000,9.2,232,0,23,193,1
라이프스토밍(Lifestorming),"한번뿐인 인생, 나답게 살 권리",20180307,자기계발,16000,8.4,352,1,6,194,1
비블리아 고서당 사건수첩. 7: 시오리코 씨와 끝없는 무대(완결),,20170828,소설,12000,9.8,348,1,32,195,1
무작정 따라하기 오사카 교토(2017-2018),고베 나라 와카야마,20170615,여행,18800,9.4,864,0,15,196,1
정의란 무엇인가(마이클 샌델),"한국 200만 부 돌파, 37개국에서 출간된 세계적 베스트셀러",20141120,인문,15000,9.4,443,0,8,197,1
죽음을 넘어 시대의 어둠을 넘어(전면개정판),광주 5월 민중항쟁의 기록,20170515,정치/사회,28000,9,608,0,17,198,1
해커스 OPIc 오픽 Advanced 공략(2주 만에 끝내는)(개정판 2판),IH/AL 등급을 위한 필수 학습서,20191202,외국어,15900,9,321,0,23,199,1
백종원이 추천하는 집밥 메뉴 52,,20140828,요리,9900,9.3,148,0,18,200,1
언어의 온도(3주년 150만부 기념 에디션),말과 글에는 나름의 따뜻함과 차가움이 있다,20160819,시/에세이,13800,8.8,308,1,6,1,1
82년생 김지영(오늘의 젊은 작가 13)(양장본 HardCover),조남주 장편소설,20161014,소설,13000,8.9,192,1,8,2,1
남아 있는 나날(모던 클래식 34),,20140128,소설,13000,9,310,1,8,3,1
말의 품격,말과 사람과 품격에 대한 생각들,20190318,인문,14500,8.7,232,1,5,4,1
"나, 있는 그대로 참 좋다(몽글몽글 에디션)",자신이 얼마나 아름다운지 모르는 나에게 필요한 마음 주문,20170922,시/에세이,13800,9,264,1,14,5,1
나는 나로 살기로 했다,,20200316,시/에세이,13800,9,288,1,12,6,1
살인자의 기억법,김영하 장편소설,20130725,소설,10000,9.1,176,1,8,7,1
자존감 수업,하루에 하나 나를 사랑하게 되는 자존감 회복 훈련,20160901,인문,14000,9.2,304,1,6,8,1
나미야 잡화점의 기적(양장본 HardCover),,20121219,소설,14800,9.3,456,1,11,9,1
